name,gender,medal_type,discipline,age
ZALATY Yauheni,Male,Silver Medal,Rowing,25
van DORP Simon,Male,Bronze Medal,Rowing,27
FLORIJN Karolien,Female,Gold Medal,Rowing,26
TWIGG Emma,Female,Silver Medal,Rowing,37
SENKUTE Viktorija,Female,Bronze Medal,Rowing,28
REUVENY Tom,Male,Gold Medal,Sailing,24
MORRIS Grae,Male,Silver Medal,Sailing,21
van OPZEELAND Luuc,Male,Bronze Medal,Sailing,25
MAGGETTI Marta,Female,Gold Medal,Sailing,28
KANTOR Sharon,Female,Silver Medal,Sailing,21
WILSON Emma,Female,Bronze Medal,Sailing,25
YANG Jiin,Female,Gold Medal,Shooting,21
JEDRZEJEWSKI Camille,Female,Silver Medal,Shooting,22
MAJOR Veronika,Female,Bronze Medal,Shooting,27
HANCOCK Vincent,Male,Gold Medal,Shooting,35
PRINCE Conner Lynn,Male,Silver Medal,Shooting,24
LEE Meng Yuan,Male,Bronze Medal,Shooting,30
MILAK Kristof,Male,Gold Medal,Swimming,24
LIENDO Josh,Male,Silver Medal,Swimming,22
KHARUN Ilya,Male,Bronze Medal,Swimming,19
McINTOSH Summer,Female,Gold Medal,Swimming,18
DOUGLASS Kate,Female,Silver Medal,Swimming,23
McKEOWN Kaylee,Female,Bronze Medal,Swimming,23
LEDECKY Katie,Female,Gold Medal,Swimming,27
TITMUS Ariarne,Female,Silver Medal,Swimming,24
MADDEN Paige,Female,Bronze Medal,Swimming,26
CHEN Meng,Female,Gold Medal,Table Tennis,30
SUN Yingsha,Female,Silver Medal,Table Tennis,24
HAYATA Hina,Female,Bronze Medal,Table Tennis,24
MUSETTI Lorenzo,Male,Bronze Medal,Tennis,22
ZHENG Qinwen,Female,Gold Medal,Tennis,22
VEKIC Donna,Female,Silver Medal,Tennis,28
KIM Woojin,Male,Gold Medal,Archery,32
ELLISON Brady,Male,Silver Medal,Archery,36
LEE Wooseok,Male,Bronze Medal,Archery,27
LIU Yang,Male,Gold Medal,Artistic Gymnastics,30
ZOU Jingyuan,Male,Silver Medal,Artistic Gymnastics,26
PETROUNIAS Eleftherios,Male,Bronze Medal,Artistic Gymnastics,34
YULO Carlos Edriel,Male,Gold Medal,Artistic Gymnastics,24
DAVTYAN Artur,Male,Silver Medal,Artistic Gymnastics,32
HEPWORTH Harry,Male,Bronze Medal,Artistic Gymnastics,21
NEMOUR Kaylia,Female,Gold Medal,Artistic Gymnastics,18
QIU Qiyuan,Female,Silver Medal,Artistic Gymnastics,17
LEE Sunisa,Female,Bronze Medal,Artistic Gymnastics,21
LYLES Noah,Male,Gold Medal,Athletics,27
THOMPSON Kishane,Male,Silver Medal,Athletics,23
KERLEY Fred,Male,Bronze Medal,Athletics,29
KATZBERG Ethan,Male,Gold Medal,Athletics,22
HALASZ Bence,Male,Silver Medal,Athletics,27
KOKHAN Mykhaylo,Male,Bronze Medal,Athletics,23
MAHUCHIKH Yaroslava,Female,Gold Medal,Athletics,23
OLYSLAGERS Nicola,Female,Silver Medal,Athletics,28
GERASHCHENKO Iryna,Female,Bronze Medal,Athletics,29
PATTERSON Eleanor,Female,Bronze Medal,Athletics,28
